rides_previous_24_hour,rides_previous_23_hour,rides_previous_22_hour,rides_previous_21_hour,rides_previous_20_hour,rides_previous_19_hour,rides_previous_18_hour,rides_previous_17_hour,rides_previous_16_hour,rides_previous_15_hour,rides_previous_14_hour,rides_previous_13_hour,rides_previous_12_hour,rides_previous_11_hour,rides_previous_10_hour,rides_previous_9_hour,rides_previous_8_hour,rides_previous_7_hour,rides_previous_6_hour,rides_previous_5_hour,rides_previous_4_hour,rides_previous_3_hour,rides_previous_2_hour,rides_previous_1_hour,pickup_location_id,prediction
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,0.34474786540973645
3.0,8.0,5.0,9.0,7.0,4.0,5.0,6.0,9.0,3.0,12.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,4.0,7.0,6.0,2.0,6.0,97,4.031946154406585
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,98,0.7270631031963468
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,0.34474786540973645
50.0,96.0,84.0,81.0,100.0,92.0,61.0,66.0,48.0,39.0,25.0,16.0,16.0,8.0,11.0,3.0,5.0,51.0,80.0,70.0,52.0,62.0,48.0,63.0,100,69.0725570650954
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,101,0.5340000362974527
0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,102,0.852128836051896
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,0.34474786540973645
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,106,0.5388944371728678
114.0,90.0,154.0,114.0,134.0,81.0,105.0,82.0,72.0,48.0,49.0,28.0,10.0,5.0,5.0,3.0,6.0,16.0,37.0,84.0,143.0,122.0,85.0,89.0,107,96.2193522794542
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,108,0.6720374845575217
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,0.34474786540973645
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110,0.34474786540973645
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.34474786540973645
1.0,9.0,3.0,3.0,6.0,2.0,8.0,5.0,3.0,4.0,8.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,2.0,2.0,112,2.236941171349543
85.0,97.0,89.0,106.0,99.0,79.0,79.0,78.0,71.0,51.0,43.0,34.0,8.0,5.0,2.0,1.0,3.0,0.0,17.0,46.0,86.0,63.0,65.0,65.0,113,81.55361293373205
53.0,64.0,66.0,103.0,90.0,76.0,92.0,69.0,75.0,90.0,52.0,86.0,38.0,16.0,2.0,1.0,3.0,3.0,10.0,18.0,27.0,21.0,42.0,22.0,114,37.124827755838176
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115,0.34474786540973645
18.0,11.0,16.0,9.0,6.0,4.0,9.0,8.0,5.0,3.0,2.0,4.0,1.0,2.0,0.0,2.0,0.0,3.0,3.0,15.0,18.0,12.0,1.0,3.0,116,8.532236307827441
0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,1.0,117,0.8908900323201792
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118,0.34474786540973645
1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,5.0,5.0,0.0,2.0,3.0,119,1.6956998132405094
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,120,0.34474786540973645
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,2.0,1.0,1.0,121,0.6085627120653598
0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,1.0,122,0.6877684594517369
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,123,0.6686596581144878
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,124,0.5087118972182193
19.0,25.0,27.0,24.0,40.0,22.0,33.0,25.0,25.0,15.0,16.0,8.0,2.0,2.0,6.0,2.0,5.0,2.0,6.0,21.0,35.0,25.0,25.0,20.0,125,20.644497528900708
